positionOrder
1
4
5
8
10
13
3
15
2
6
1
10
16
19
8
10
1
6
1
11
4
5
2
20
3
4
4
7
1
3
1
12
1
4
2
5
2
3
1
2
2
5
2
3
1
2
1
7
1
2
3
7
2
3
1
9
1
4
3
5
1
2
3
4
1
21
2
19
3
7
1
2
1
2
2
1
1
1
1
5
2
5
14
2
19
2
1
2
3
1
1
1
2
4
1
17
11
1
2
1
11
2
2
2
3
3
1
3
7
6
4
4
12
5
13
16
2
10
3
3
16
16
4
5
4
7
3
3
6
2
16
5
4
4
18
18
4
1
8
15
18
12
13
19
22
13
15
13
19
14
17
16
10
18
22
13
21
11
5
20
7
11
6
9
4
8
5
9
7
12
10
13
14
16
7
18
1
18
2
6
15
19
5
12
1
3
3
10
3
20
14
19
1
3
14
4
6
22
6
10
13
2
4
15
2
14
16
5
6
24
1
8
17
1
3
13
2
8
22
2
10
14
1
4
13
2
6
20
1
14
21
1
7
23
1
10
19
3
5
20
1
2
10
3
4
8
2
7
16
2
4
22
6
8
21
1
7
17
3
4
14
2
5
9
2
6
22
24
2
4
11
1
4
7
19
1
2
11
19
3
4
15
18
4
20
21
22
3
4
16
17
4
5
10
19
2
5
8
22
2
5
16
19
3
7
10
18
1
2
11
21
4
13
20
22
3
5
8
9
22
1
2
3
9
12
3
9
11
15
17
7
8
11
12
15
2
8
10
13
20
3
5
8
11
17
1
3
5
12
14
1
5
9
11
19
2
8
12
13
22
1
6
9
13
24
1
5
11
14
15
4
9
21
22
23
1
2
3
12
21
3
9
10
14
24
5
7
10
22
23
3
6
9
10
11
2
4
8
13
24
2
10
15
21
24
1
3
8
11
12
2
5
13
20
24
2
5
11
14
19
22
3
8
9
11
18
22
1
3
7
10
11
13
5
6
8
12
14
16
1
9
10
12
15
16
4
7
11
12
16
18
2
3
11
14
15
21
3
4
8
10
12
20
4
5
8
10
12
16
1
5
9
11
13
20
2
3
10
11
13
15
2
5
7
9
12
15
2
5
8
9
13
22
4
5
6
10
12
19
4
6
13
15
17
20
5
6
10
11
16
19
5
7
9
14
15
16
4
5
6
7
8
11
3
6
8
9
10
21
2
4
5
6
10
19
22
1
4
5
8
9
16
22
1
3
4
5
8
9
18
1
3
4
6
7
9
13
1
3
5
6
9
10
12
2
3
4
5
10
16
21
1
5
6
7
9
11
17
2
3
5
6
7
8
9
1
2
3
6
7
8
11
2
3
5
6
7
9
10
1
2
3
8
12
19
20
1
3
7
8
10
12
19
1
4
5
7
10
12
21
1
3
4
7
9
10
11
1
4
6
8
10
14
22
1
3
5
6
7
10
12
1
3
5
6
8
16
17
2
6
8
9
10
15
18
1
3
4
6
7
9
11
1
6
7
10
13
17
18
2
5
7
10
13
14
18
1
6
9
11
12
17
20
1
4
6
8
11
13
18
2
4
7
11
13
15
20
3
5
7
11
14
18
19
1
3
8
11
13
15
20
2
5
6
8
9
10
20
1
5
7
9
10
15
16
3
4
5
6
13
19
20
1
5
8
9
13
18
20
1
4
6
7
8
12
18
2
5
7
8
17
18
20
1
5
6
9
11
12
15
1
3
10
11
12
15
19
1
4
5
10
11
14
19
2
3
5
7
8
9
20
2
5
6
9
11
12
15
2
5
6
7
13
16
17
2
4
7
8
10
12
13
21
3
4
6
9
11
15
16
4
7
8
10
11
12
15
17
2
4
6
7
9
11
19
21
1
4
5
7
14
19
20
21
1
2
3
5
6
12
18
19
1
3
4
7
8
10
11
16
3
5
6
7
8
9
14
19
1
2
5
9
14
17
18
19
1
2
4
6
7
13
14
17
1
3
5
7
9
10
11
15
1
2
3
7
9
10
12
16
2
3
4
5
7
8
11
16
18
2
5
6
7
8
10
14
17
18
2
3
6
7
8
10
18
20
21
1
2
5
6
7
8
16
18
20
2
3
6
7
8
10
14
16
21
1
3
5
8
12
16
18
20
22
1
3
4
7
8
10
13
17
21
1
3
4
7
8
10
11
12
14
1
4
5
7
8
10
13
21
22
2
3
5
7
10
11
14
15
16
17
1
3
4
6
8
9
10
12
16
20
2
3
5
7
9
10
14
17
18
19
1
4
5
6
7
8
11
13
17
20
1
3
4
5
6
12
14
16
17
19
3
4
5
7
10
12
13
